name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes,new_node_id
,1,41190707,,-111.8962532,33.4002322,2,tertiary,,1.0,,45
,13,256194249,,-111.9738299,33.4371135,-1,motorway,,13.0,,57
,19,2301213547,,-111.9722249,33.3508115,-1,motorway,,19.0,,63
,26,42230556,,-111.9677991,33.3759744,1,motorway,,26.0,,70
,33,3874076266,,-111.8785744,33.3855075,-1,motorway,,33.0,,77
,61,316737158,,-111.9726789,33.3344285,-1,secondary,,61.0,,105
,106,41819424,,-111.920726,33.3530584,2,tertiary,,106.0,,150
,117,42040191,,-111.9519201,33.4485752,2,primary,,117.0,,161
,123,42225093,,-111.9682526,33.3964879,2,tertiary,,123.0,,167
,131,320625571,,-111.9784773,33.410114,-1,motorway,,131.0,,175
,149,42491441,,-111.8831837,33.4167388,2,tertiary,,149.0,,193
,177,255755992,,-111.8924599,33.3803658,1,motorway,,177.0,,221
,201,2821297355,,-111.8962086,33.4349931,1,motorway,,201.0,,245
,202,255817451,,-111.8889757,33.4331362,-1,motorway,,202.0,,246
,219,255822024,,-111.9254503,33.4365151,1,motorway,,219.0,,263
,268,314435675,signal,-111.8781205,33.3860623,1,motorway,,268.0,,312
,294,255756947,,-111.8803283,33.3856431,-1,motorway,,294.0,,338
,304,314439716,,-111.8937892,33.3698643,1,motorway,,304.0,,348
,308,314441682,,-111.8942832,33.3636365,1,secondary,,308.0,,352
,318,314443644,,-111.8932961,33.3348039,-1,secondary,,318.0,,362
,319,314444066,,-111.8934168,33.3331318,-1,motorway,,319.0,,363
,331,255816388,,-111.8939906,33.4351451,-1,motorway,,331.0,,375
,332,4347778850,,-111.8916869,33.430412,1,motorway,,332.0,,376
,335,314765288,,-111.8909342,33.4296178,-1,motorway,,335.0,,379
,338,314765289,,-111.8912043,33.4296205,1,motorway,,338.0,,382
,345,255817890,,-111.8928606,33.433051,1,motorway,,345.0,,389
,352,316115633,,-111.97869,33.4347363,1,motorway,,352.0,,396
,356,1759242280,,-111.9664624,33.4393155,1,motorway,,356.0,,400
,411,5923391931,,-111.9681498,33.3762119,-1,motorway,,411.0,,455
,462,41216712,,-111.9786272,33.411521,1,motorway,,462.0,,506
,467,320996695,,-111.9002132,33.3675143,2,tertiary,,467.0,,511
,469,41941495,,-111.9198248,33.3571842,2,tertiary,,469.0,,513
,472,5130910789,,-111.8928035,33.3804781,-1,motorway,,472.0,,516
,502,330671239,,-111.8847826,33.4148783,1,primary,,502.0,,546
,529,256186747,,-111.964671,33.4393996,-1,motorway,,529.0,,573
,538,41770164,,-111.9203207,33.3273629,2,tertiary,,538.0,,582
,574,193468219,,-111.9819475,33.4111272,-1,motorway,,574.0,,618
,575,255757444,,-111.8806616,33.3861709,1,motorway,,575.0,,619
,577,41489917,,-111.9840523,33.4108145,1,motorway,,577.0,,621
,587,42313390,,-111.8982934,33.4359041,1,motorway,,587.0,,631
,589,316119371,,-111.966005,33.4393679,-1,motorway,,589.0,,633
,652,2820908295,signal,-111.882872,33.4293692,2,tertiary,,652.0,,696
,654,419381704,,-111.9719353,33.3773848,1,tertiary,,654.0,,698
,696,6149095222,signal,-111.978435,33.4218257,1,motorway,,696.0,,740
,700,1945648598,,-111.893464,33.3411913,1,motorway,,700.0,,744
,709,2139420957,,-111.97269,33.3342879,1,secondary,,709.0,,753
,756,2308348403,,-111.9720685,33.3773723,-1,tertiary,,756.0,,800
,769,314433933,,-111.8774191,33.4221262,2,secondary,,769.0,,813
,841,5206227093,,-111.9610217,33.4502001,2,tertiary,,841.0,,885
,855,314765132,,-111.8891783,33.4321652,-1,motorway,,855.0,,899
,956,4347800571,,-111.8933625,33.3783282,-1,secondary,,956.0,,1000
,963,255814679,,-111.8999723,33.43581,-1,motorway,,963.0,,1007
,972,3200583552,,-111.9786643,33.4337347,1,motorway,,972.0,,1016
,982,41641489,,-111.9455976,33.3254949,-1,tertiary,,982.0,,1026
,984,8891256279,,-111.9455975,33.3254348,1,tertiary,,984.0,,1028
,1004,3931739236,,-111.8932991,33.3492467,-1,secondary,,1004.0,,1048
