link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
1,42,45,1,368.23,1,90,99999,connector,0,"LINESTRING (-111.90021141274276 33.40024208354758, -111.8962532 33.4002322)",,1,0,0,0.15,4,1,0.23,55.0,55.0,0.25,,,,
2,45,42,1,368.23,1,90,99999,connector,0,"LINESTRING (-111.8962532 33.4002322, -111.90021141274276 33.40024208354758)",,1,0,0,0.15,4,1,0.23,55.0,55.0,0.25,,,,
3,4,57,1,2105.99,1,90,99999,connector,0,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9738299 33.4371135)",,1,0,0,0.15,4,1,1.31,55.0,55.0,1.4,,,,
4,57,4,1,2105.99,1,90,99999,connector,0,"LINESTRING (-111.9738299 33.4371135, -111.96854061981801 33.41865076566256)",,1,0,0,0.15,4,1,1.31,55.0,55.0,1.4,,,,
5,19,63,1,1446.84,1,90,99999,connector,0,"LINESTRING (-111.95755716199281 33.35512991305016, -111.9722249 33.3508115)",,1,0,0,0.15,4,1,0.9,55.0,55.0,0.96,,,,
6,63,19,1,1446.84,1,90,99999,connector,0,"LINESTRING (-111.9722249 33.3508115, -111.95755716199281 33.35512991305016)",,1,0,0,0.15,4,1,0.9,55.0,55.0,0.96,,,,
7,7,70,1,817.0,1,90,99999,connector,0,"LINESTRING (-111.96462995434977 33.382844063374215, -111.9677991 33.3759744)",,1,0,0,0.15,4,1,0.51,55.0,55.0,0.54,,,,
8,70,7,1,817.0,1,90,99999,connector,0,"LINESTRING (-111.9677991 33.3759744, -111.96462995434977 33.382844063374215)",,1,0,0,0.15,4,1,0.51,55.0,55.0,0.54,,,,
9,9,77,1,947.65,1,90,99999,connector,0,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8785744 33.3855075)",,1,0,0,0.15,4,1,0.59,55.0,55.0,0.63,,,,
10,77,9,1,947.65,1,90,99999,connector,0,"LINESTRING (-111.8785744 33.3855075, -111.8886884054658 33.384501451790044)",,1,0,0,0.15,4,1,0.59,55.0,55.0,0.63,,,,
11,1,105,1,1431.5,1,90,99999,connector,0,"LINESTRING (-111.95857402769855 33.32929064666485, -111.9726789 33.3344285)",,1,0,0,0.15,4,1,0.89,55.0,55.0,0.95,,,,
12,105,1,1,1431.5,1,90,99999,connector,0,"LINESTRING (-111.9726789 33.3344285, -111.95857402769855 33.32929064666485)",,1,0,0,0.15,4,1,0.89,55.0,55.0,0.95,,,,
13,16,150,1,385.94,1,90,99999,connector,0,"LINESTRING (-111.9198593295126 33.35646127620905, -111.920726 33.3530584)",,1,0,0,0.15,4,1,0.24,55.0,55.0,0.26,,,,
14,150,16,1,385.94,1,90,99999,connector,0,"LINESTRING (-111.920726 33.3530584, -111.9198593295126 33.35646127620905)",,1,0,0,0.15,4,1,0.24,55.0,55.0,0.26,,,,
15,38,161,1,1099.8,1,90,99999,connector,0,"LINESTRING (-111.94240830800949 33.442680959325, -111.9519201 33.4485752)",,1,0,0,0.15,4,1,0.68,55.0,55.0,0.73,,,,
16,161,38,1,1099.8,1,90,99999,connector,0,"LINESTRING (-111.9519201 33.4485752, -111.94240830800949 33.442680959325)",,1,0,0,0.15,4,1,0.68,55.0,55.0,0.73,,,,
17,8,167,1,672.02,1,90,99999,connector,0,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9682526 33.3964879)",,1,0,0,0.15,4,1,0.42,55.0,55.0,0.45,,,,
18,167,8,1,672.02,1,90,99999,connector,0,"LINESTRING (-111.9682526 33.3964879, -111.97327504107547 33.40084275258209)",,1,0,0,0.15,4,1,0.42,55.0,55.0,0.45,,,,
19,8,175,1,1136.47,1,90,99999,connector,0,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9784773 33.410114)",,1,0,0,0.15,4,1,0.71,55.0,55.0,0.76,,,,
20,175,8,1,1136.47,1,90,99999,connector,0,"LINESTRING (-111.9784773 33.410114, -111.97327504107547 33.40084275258209)",,1,0,0,0.15,4,1,0.71,55.0,55.0,0.76,,,,
21,25,193,1,339.91,1,90,99999,connector,0,"LINESTRING (-111.88681356806566 33.41709433318095, -111.8831837 33.4167388)",,1,0,0,0.15,4,1,0.21,55.0,55.0,0.23,,,,
22,193,25,1,339.91,1,90,99999,connector,0,"LINESTRING (-111.8831837 33.4167388, -111.88681356806566 33.41709433318095)",,1,0,0,0.15,4,1,0.21,55.0,55.0,0.23,,,,
23,9,221,1,577.54,1,90,99999,connector,0,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8924599 33.3803658)",,1,0,0,0.15,4,1,0.36,55.0,55.0,0.39,,,,
24,221,9,1,577.54,1,90,99999,connector,0,"LINESTRING (-111.8924599 33.3803658, -111.8886884054658 33.384501451790044)",,1,0,0,0.15,4,1,0.36,55.0,55.0,0.39,,,,
25,30,245,1,1211.06,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8962086 33.4349931)",,1,0,0,0.15,4,1,0.75,55.0,55.0,0.81,,,,
26,245,30,1,1211.06,1,90,99999,connector,0,"LINESTRING (-111.8962086 33.4349931, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.75,55.0,55.0,0.81,,,,
27,30,246,1,665.47,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8889757 33.4331362)",,1,0,0,0.15,4,1,0.41,55.0,55.0,0.44,,,,
28,246,30,1,665.47,1,90,99999,connector,0,"LINESTRING (-111.8889757 33.4331362, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.41,55.0,55.0,0.44,,,,
29,23,263,1,1353.0,1,90,99999,connector,0,"LINESTRING (-111.91136650374384 33.433452944116105, -111.9254503 33.4365151)",,1,0,0,0.15,4,1,0.84,55.0,55.0,0.9,,,,
30,263,23,1,1353.0,1,90,99999,connector,0,"LINESTRING (-111.9254503 33.4365151, -111.91136650374384 33.433452944116105)",,1,0,0,0.15,4,1,0.84,55.0,55.0,0.9,,,,
31,9,312,1,998.41,1,90,99999,connector,0,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8781205 33.3860623)",,1,0,0,0.15,4,1,0.62,55.0,55.0,0.67,,,,
32,312,9,1,998.41,1,90,99999,connector,0,"LINESTRING (-111.8781205 33.3860623, -111.8886884054658 33.384501451790044)",,1,0,0,0.15,4,1,0.62,55.0,55.0,0.67,,,,
33,9,338,1,788.11,1,90,99999,connector,0,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8803283 33.3856431)",,1,0,0,0.15,4,1,0.49,55.0,55.0,0.53,,,,
34,338,9,1,788.11,1,90,99999,connector,0,"LINESTRING (-111.8803283 33.3856431, -111.8886884054658 33.384501451790044)",,1,0,0,0.15,4,1,0.49,55.0,55.0,0.53,,,,
35,15,348,1,806.97,1,90,99999,connector,0,"LINESTRING (-111.90234525424631 33.371047113918, -111.8937892 33.3698643)",,1,0,0,0.15,4,1,0.5,55.0,55.0,0.54,,,,
36,348,15,1,806.97,1,90,99999,connector,0,"LINESTRING (-111.8937892 33.3698643, -111.90234525424631 33.371047113918)",,1,0,0,0.15,4,1,0.5,55.0,55.0,0.54,,,,
37,17,352,1,1120.73,1,90,99999,connector,0,"LINESTRING (-111.90279797102626 33.35649140422487, -111.8942832 33.3636365)",,1,0,0,0.15,4,1,0.7,55.0,55.0,0.75,,,,
38,352,17,1,1120.73,1,90,99999,connector,0,"LINESTRING (-111.8942832 33.3636365, -111.90279797102626 33.35649140422487)",,1,0,0,0.15,4,1,0.7,55.0,55.0,0.75,,,,
39,2,362,1,2771.22,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.8932961 33.3348039)",,1,0,0,0.15,4,1,1.72,55.0,55.0,1.85,,,,
40,362,2,1,2771.22,1,90,99999,connector,0,"LINESTRING (-111.8932961 33.3348039, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,1.72,55.0,55.0,1.85,,,,
41,2,363,1,2725.68,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.8934168 33.3331318)",,1,0,0,0.15,4,1,1.69,55.0,55.0,1.82,,,,
42,363,2,1,2725.68,1,90,99999,connector,0,"LINESTRING (-111.8934168 33.3331318, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,1.69,55.0,55.0,1.82,,,,
43,30,375,1,1085.54,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8939906 33.4351451)",,1,0,0,0.15,4,1,0.67,55.0,55.0,0.72,,,,
44,375,30,1,1085.54,1,90,99999,connector,0,"LINESTRING (-111.8939906 33.4351451, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.67,55.0,55.0,0.72,,,,
45,30,376,1,560.5,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8916869 33.430412)",,1,0,0,0.15,4,1,0.35,55.0,55.0,0.37,,,,
46,376,30,1,560.5,1,90,99999,connector,0,"LINESTRING (-111.8916869 33.430412, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.35,55.0,55.0,0.37,,,,
47,30,379,1,452.82,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8909342 33.4296178)",,1,0,0,0.15,4,1,0.28,55.0,55.0,0.3,,,,
48,379,30,1,452.82,1,90,99999,connector,0,"LINESTRING (-111.8909342 33.4296178, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.28,55.0,55.0,0.3,,,,
49,30,382,1,474.3,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8912043 33.4296205)",,1,0,0,0.15,4,1,0.29,55.0,55.0,0.32,,,,
50,382,30,1,474.3,1,90,99999,connector,0,"LINESTRING (-111.8912043 33.4296205, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.29,55.0,55.0,0.32,,,,
51,23,389,1,1721.51,1,90,99999,connector,0,"LINESTRING (-111.91136650374384 33.433452944116105, -111.8928606 33.433051)",,1,0,0,0.15,4,1,1.07,55.0,55.0,1.15,,,,
52,389,23,1,1721.51,1,90,99999,connector,0,"LINESTRING (-111.8928606 33.433051, -111.91136650374384 33.433452944116105)",,1,0,0,0.15,4,1,1.07,55.0,55.0,1.15,,,,
53,4,396,1,2018.39,1,90,99999,connector,0,"LINESTRING (-111.96854061981801 33.41865076566256, -111.97869 33.4347363)",,1,0,0,0.15,4,1,1.25,55.0,55.0,1.35,,,,
54,396,4,1,2018.39,1,90,99999,connector,0,"LINESTRING (-111.97869 33.4347363, -111.96854061981801 33.41865076566256)",,1,0,0,0.15,4,1,1.25,55.0,55.0,1.35,,,,
55,39,400,1,1713.39,1,90,99999,connector,0,"LINESTRING (-111.9525185541581 33.4292177099346, -111.9664624 33.4393155)",,1,0,0,0.15,4,1,1.06,55.0,55.0,1.14,,,,
