link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,from_biway
1,,,1,105,,"LINESTRING (-111.95857402769855 33.32929064666485, -111.9726789 33.3344285)",1,1431.5,,0,90,1,99999,drive,0,0.15,4,1,0.89,55.0,55.0,0.95,,,,,0,connector,1
2,,,1,753,,"LINESTRING (-111.95857402769855 33.32929064666485, -111.97269 33.3342879)",1,1426.31,,0,90,1,99999,drive,0,0.15,4,1,0.89,55.0,55.0,0.95,,,,,0,connector,1
3,,,1,1284,,"LINESTRING (-111.95857402769855 33.32929064666485, -111.963016 33.3199329)",1,1117.24,,0,90,1,99999,drive,0,0.15,4,1,0.69,55.0,55.0,0.74,,,,,0,connector,1
4,,,1,1286,,"LINESTRING (-111.95857402769855 33.32929064666485, -111.963158 33.3199306)",1,1122.44,,0,90,1,99999,drive,0,0.15,4,1,0.7,55.0,55.0,0.75,,,,,0,connector,1
5,,,1,2760,,"LINESTRING (-111.95857402769855 33.32929064666485, -111.9720876 33.3245642)",1,1363.04,,0,90,1,99999,drive,0,0.15,4,1,0.85,55.0,55.0,0.91,,,,,0,connector,1
6,,,2,362,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.8932961 33.3348039)",1,2771.22,,0,90,1,99999,drive,0,0.15,4,1,1.72,55.0,55.0,1.85,,,,,0,connector,1
7,,,2,363,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.8934168 33.3331318)",1,2725.68,,0,90,1,99999,drive,0,0.15,4,1,1.69,55.0,55.0,1.82,,,,,0,connector,1
8,,,2,582,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9203207 33.3273629)",1,290.28,,0,90,1,99999,drive,0,0.15,4,1,0.18,55.0,55.0,0.19,,,,,0,connector,1
9,,,2,1026,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9455976 33.3254949)",1,2206.87,,0,90,1,99999,drive,0,0.15,4,1,1.37,55.0,55.0,1.47,,,,,0,connector,1
10,,,2,1028,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9455975 33.3254348)",1,2208.17,,0,90,1,99999,drive,0,0.15,4,1,1.37,55.0,55.0,1.47,,,,,0,connector,1
11,,,2,1071,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.92823 33.320059)",1,1167.44,,0,90,1,99999,drive,0,0.15,4,1,0.73,55.0,55.0,0.78,,,,,0,connector,1
12,,,2,1528,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9111722 33.3271018)",1,1069.8,,0,90,1,99999,drive,0,0.15,4,1,0.66,55.0,55.0,0.71,,,,,0,connector,1
13,,,2,2250,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.928108 33.3200579)",1,1162.26,,0,90,1,99999,drive,0,0.15,4,1,0.72,55.0,55.0,0.77,,,,,0,connector,1
14,,,2,2731,,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9456073 33.327198)",1,2179.02,,0,90,1,99999,drive,0,0.15,4,1,1.35,55.0,55.0,1.45,,,,,0,connector,1
15,,,3,2760,,"LINESTRING (-111.94838873006022 33.32731187952501, -111.9720876 33.3245642)",1,2227.5,,0,90,1,99999,drive,0,0.15,4,1,1.38,55.0,55.0,1.48,,,,,0,connector,1
16,,,4,57,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9738299 33.4371135)",1,2105.99,,0,90,1,99999,drive,0,0.15,4,1,1.31,55.0,55.0,1.4,,,,,0,connector,1
17,,,4,396,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.97869 33.4347363)",1,2018.39,,0,90,1,99999,drive,0,0.15,4,1,1.25,55.0,55.0,1.35,,,,,0,connector,1
18,,,4,506,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9786272 33.411521)",1,1227.0,,0,90,1,99999,drive,0,0.15,4,1,0.76,55.0,55.0,0.82,,,,,0,connector,1
19,,,4,740,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.978435 33.4218257)",1,985.33,,0,90,1,99999,drive,0,0.15,4,1,0.61,55.0,55.0,0.66,,,,,0,connector,1
20,,,4,1016,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9786643 33.4337347)",1,1919.73,,0,90,1,99999,drive,0,0.15,4,1,1.19,55.0,55.0,1.28,,,,,0,connector,1
21,,,4,2650,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9784365 33.4219607)",1,990.9,,0,90,1,99999,drive,0,0.15,4,1,0.62,55.0,55.0,0.66,,,,,0,connector,1
22,,,4,2742,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9785185 33.4347551)",1,2012.83,,0,90,1,99999,drive,0,0.15,4,1,1.25,55.0,55.0,1.34,,,,,0,connector,1
23,,,4,2797,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9785607 33.4208538)",1,963.45,,0,90,1,99999,drive,0,0.15,4,1,0.6,55.0,55.0,0.64,,,,,0,connector,1
24,,,4,2836,,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9784652 33.4191768)",1,924.92,,0,90,1,99999,drive,0,0.15,4,1,0.57,55.0,55.0,0.62,,,,,0,connector,1
25,,,5,1227,,"LINESTRING (-111.93265996939043 33.4182893069808, -111.9349556 33.4161131)",1,322.26,,0,90,1,99999,drive,0,0.15,4,1,0.2,55.0,55.0,0.21,,,,,0,connector,1
26,,,6,698,,"LINESTRING (-111.97147327426742 33.38599231190118, -111.9719353 33.3773848)",1,955.64,,0,90,1,99999,drive,0,0.15,4,1,0.59,55.0,55.0,0.64,,,,,0,connector,1
27,,,6,800,,"LINESTRING (-111.97147327426742 33.38599231190118, -111.9720685 33.3773723)",1,957.66,,0,90,1,99999,drive,0,0.15,4,1,0.6,55.0,55.0,0.64,,,,,0,connector,1
28,,,6,2157,,"LINESTRING (-111.97147327426742 33.38599231190118, -111.978418 33.3781822)",1,1080.7,,0,90,1,99999,drive,0,0.15,4,1,0.67,55.0,55.0,0.72,,,,,0,connector,1
29,,,6,2158,,"LINESTRING (-111.97147327426742 33.38599231190118, -111.9793518 33.3927591)",1,1049.09,,0,90,1,99999,drive,0,0.15,4,1,0.65,55.0,55.0,0.7,,,,,0,connector,1
30,,,6,2168,,"LINESTRING (-111.97147327426742 33.38599231190118, -111.9783602 33.3920619)",1,929.39,,0,90,1,99999,drive,0,0.15,4,1,0.58,55.0,55.0,0.62,,,,,0,connector,1
31,,,7,70,,"LINESTRING (-111.96462995434977 33.382844063374215, -111.9677991 33.3759744)",1,817.0,,0,90,1,99999,drive,0,0.15,4,1,0.51,55.0,55.0,0.54,,,,,0,connector,1
32,,,7,455,,"LINESTRING (-111.96462995434977 33.382844063374215, -111.9681498 33.3762119)",1,805.2,,0,90,1,99999,drive,0,0.15,4,1,0.5,55.0,55.0,0.54,,,,,0,connector,1
33,,,7,2302,,"LINESTRING (-111.96462995434977 33.382844063374215, -111.9681497 33.3765305)",1,773.05,,0,90,1,99999,drive,0,0.15,4,1,0.48,55.0,55.0,0.52,,,,,0,connector,1
34,,,7,2689,,"LINESTRING (-111.96462995434977 33.382844063374215, -111.9683747 33.3745058)",1,988.28,,0,90,1,99999,drive,0,0.15,4,1,0.61,55.0,55.0,0.66,,,,,0,connector,1
35,,,8,167,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9682526 33.3964879)",1,672.02,,0,90,1,99999,drive,0,0.15,4,1,0.42,55.0,55.0,0.45,,,,,0,connector,1
36,,,8,175,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9784773 33.410114)",1,1136.47,,0,90,1,99999,drive,0,0.15,4,1,0.71,55.0,55.0,0.76,,,,,0,connector,1
37,,,8,618,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9819475 33.4111272)",1,1397.12,,0,90,1,99999,drive,0,0.15,4,1,0.87,55.0,55.0,0.93,,,,,0,connector,1
38,,,8,621,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9840523 33.4108145)",1,1492.74,,0,90,1,99999,drive,0,0.15,4,1,0.93,55.0,55.0,1.0,,,,,0,connector,1
39,,,8,2185,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9784362 33.4093378)",1,1057.47,,0,90,1,99999,drive,0,0.15,4,1,0.66,55.0,55.0,0.7,,,,,0,connector,1
40,,,8,2229,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.978976 33.4073253)",1,893.42,,0,90,1,99999,drive,0,0.15,4,1,0.56,55.0,55.0,0.6,,,,,0,connector,1
41,,,8,2619,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.979025 33.3999631)",1,543.74,,0,90,1,99999,drive,0,0.15,4,1,0.34,55.0,55.0,0.36,,,,,0,connector,1
42,,,8,2831,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9833808 33.4106672)",1,1439.12,,0,90,1,99999,drive,0,0.15,4,1,0.89,55.0,55.0,0.96,,,,,0,connector,1
43,,,8,2840,,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9814596 33.4114142)",1,1398.0,,0,90,1,99999,drive,0,0.15,4,1,0.87,55.0,55.0,0.93,,,,,0,connector,1
44,,,9,77,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8785744 33.3855075)",1,947.65,,0,90,1,99999,drive,0,0.15,4,1,0.59,55.0,55.0,0.63,,,,,0,connector,1
45,,,9,221,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8924599 33.3803658)",1,577.54,,0,90,1,99999,drive,0,0.15,4,1,0.36,55.0,55.0,0.39,,,,,0,connector,1
46,,,9,312,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8781205 33.3860623)",1,998.41,,0,90,1,99999,drive,0,0.15,4,1,0.62,55.0,55.0,0.67,,,,,0,connector,1
47,,,9,338,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8803283 33.3856431)",1,788.11,,0,90,1,99999,drive,0,0.15,4,1,0.49,55.0,55.0,0.53,,,,,0,connector,1
48,,,9,516,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8928035 33.3804781)",1,588.0,,0,90,1,99999,drive,0,0.15,4,1,0.37,55.0,55.0,0.39,,,,,0,connector,1
