zone_id,origin_count,origin_avg_distance_mile,origin_avg_distance_km,origin_avg_free_flow,origin_avg_congestion,destination_count,destination_avg_distance_mile,destination_avg_distance_km,destination_avg_free_flow,destination_avg_congestion
1,43,8.12,13.07,8.32,8.32,43,8.55,13.76,11.27,11.27
2,43,6.97,11.21,9.14,9.14,43,6.53,10.51,8.79,8.79
3,43,6.50,10.45,7.36,7.36,43,6.51,10.48,7.62,7.62
4,43,7.40,11.91,8.65,8.65,43,7.07,11.38,7.35,7.35
5,43,4.45,7.17,6.19,6.19,43,4.61,7.42,6.25,6.25
6,43,6.01,9.67,7.07,7.07,43,6.09,9.79,6.89,6.89
7,43,6.67,10.73,7.03,7.03,43,6.14,9.88,6.51,6.51
8,43,6.67,10.73,7.47,7.47,43,6.92,11.13,7.41,7.41
9,43,5.32,8.56,5.93,5.93,43,5.67,9.12,6.11,6.11
10,43,4.54,7.31,5.85,5.85,43,4.56,7.34,6.25,6.25
11,43,4.49,7.22,5.36,5.36,43,4.48,7.21,5.29,5.29
12,43,4.90,7.88,6.23,6.23,43,4.72,7.60,6.76,6.76
13,43,5.54,8.92,6.93,6.93,43,5.55,8.93,6.93,6.93
14,43,5.23,8.42,6.85,6.85,43,5.13,8.25,6.73,6.73
15,43,5.62,9.03,7.55,7.55,43,5.29,8.52,6.55,6.55
16,43,5.07,8.16,7.15,7.15,43,4.94,7.95,6.97,6.97
17,43,7.18,11.55,9.33,9.33,43,6.35,10.21,8.38,8.38
18,43,5.78,9.29,6.75,6.75,43,5.98,9.62,6.97,6.97
19,43,6.00,9.65,7.60,7.60,43,5.83,9.38,7.55,7.55
20,43,6.34,10.20,7.74,7.74,43,6.16,9.90,7.76,7.76
21,43,7.94,12.77,10.84,10.84,43,6.58,10.58,8.17,8.17
22,43,5.93,9.54,7.13,7.13,43,6.06,9.74,7.12,7.12
23,43,6.17,9.93,6.72,6.72,43,5.51,8.87,7.43,7.43
24,43,6.21,9.99,8.61,8.61,43,6.37,10.25,8.93,8.93
25,43,5.66,9.11,6.43,6.43,43,6.04,9.72,6.90,6.90
26,43,4.71,7.58,5.52,5.52,43,5.22,8.40,5.85,5.85
27,43,5.38,8.65,7.17,7.17,43,5.11,8.22,6.95,6.95
28,43,7.13,11.47,9.55,9.55,43,6.90,11.10,9.24,9.24
29,43,6.87,11.05,9.18,9.18,43,7.06,11.36,9.35,9.35
30,43,6.23,10.03,6.76,6.76,43,6.59,10.61,7.10,7.10
31,43,4.73,7.60,5.78,5.78,43,4.65,7.48,5.70,5.70
32,43,4.68,7.53,6.47,6.47,43,4.72,7.60,6.59,6.59
33,43,5.05,8.12,6.56,6.56,43,5.07,8.16,6.62,6.62
34,43,6.14,9.88,6.70,6.70,43,6.77,10.89,7.33,7.33
35,43,6.50,10.46,7.00,7.00,43,7.10,11.42,7.63,7.63
36,43,5.85,9.42,6.56,6.56,43,5.79,9.32,6.49,6.49
37,43,5.45,8.78,6.13,6.13,43,5.39,8.68,6.06,6.06
38,43,7.06,11.36,9.69,9.69,43,7.47,12.03,9.82,9.82
39,43,6.90,11.10,8.62,8.62,43,7.33,11.79,8.75,8.75
40,43,4.46,7.18,6.22,6.22,43,4.54,7.30,6.36,6.36
41,43,5.92,9.52,7.81,7.81,43,6.28,10.11,7.80,7.80
42,43,5.13,8.26,7.33,7.33,43,5.05,8.13,7.32,7.32
43,43,5.84,9.40,7.37,7.37,43,6.13,9.86,6.87,6.87
44,43,4.74,7.62,5.79,5.79,43,4.66,7.49,5.71,5.71
