name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,41190707,,-111.8962532,33.4002322,2,tertiary,,1,
,2,41190717,,-111.9005361,33.4002251,0,tertiary,,,
,3,41190746,signal,-111.9091330,33.4001487,0,secondary,,,
,4,41190773,,-111.9161644,33.3991081,0,tertiary,,,
,5,5200239415,,-111.9344308,33.4001595,0,tertiary,,,
,6,5200239414,,-111.9268039,33.4002279,0,tertiary,,,
,7,12381718718,,-111.9683329,33.3854463,0,motorway,,,
,8,255734135,,-111.9682176,33.3842412,0,motorway,,,
,9,255734122,,-111.9678428,33.3922814,0,motorway,,,
,10,41216719,signal,-111.9782891,33.4073275,0,secondary,,,
,11,41216716,,-111.9782754,33.4093466,0,motorway,,,
,12,316115414,,-111.9782579,33.4348286,0,motorway,,,
,13,256194249,,-111.9738299,33.4371135,-1,motorway,,13,
,14,41259724,,-111.9338920,33.3857087,0,motorway,,,
,15,4347614166,,-111.9386661,33.3859575,0,motorway,,,
,16,10263942608,,-111.9485881,33.4445865,0,primary,,,
,17,41265242,,-111.9489708,33.4442238,0,primary,,,
,18,41267598,,-111.9711154,33.3546267,0,motorway,,,
,19,2301213547,,-111.9722249,33.3508115,-1,motorway,,19,
,20,255735872,,-111.9453019,33.3854201,0,motorway,,,
,21,2941419386,,-111.9406240,33.3851561,0,motorway,,,
,22,255736046,,-111.9324754,33.3854492,0,motorway,,,
,23,255736050,,-111.9276280,33.3851091,0,motorway,,,
,24,255736909,,-111.8907039,33.3858465,0,motorway,,,
,25,255736900,,-111.8954228,33.3861908,0,motorway,,,
,26,42230556,,-111.9677991,33.3759744,1,motorway,,26,
,27,6065736557,,-111.9676392,33.3775016,0,motorway,,,
,28,255736552,,-111.9163787,33.3855287,0,motorway,,,
,29,255736548,,-111.9106005,33.3852456,0,motorway,,,
,30,41359339,,-111.9721013,33.3429747,0,motorway,,,
,31,2301213329,,-111.9715738,33.3470900,0,motorway,,,
,32,255663799,,-111.8902700,33.3856347,0,motorway,,,
,33,3874076266,,-111.8785744,33.3855075,-1,motorway,,33,
,34,41423746,,-111.9720713,33.3289718,0,motorway,,,
,35,2139420893,,-111.9716561,33.3332185,0,motorway,,,
,36,41350650,,-111.9581954,33.3867543,0,motorway,,,
,37,256190124,,-111.9604188,33.3873486,0,motorway,,,
,38,255815446,,-111.8912955,33.3990156,0,motorway,,,
,39,5742275161,,-111.8918554,33.3951137,0,motorway,,,
,40,41329915,,-111.9186492,33.3858203,0,motorway,,,
,41,4347590444,,-111.9254898,33.3860198,0,motorway,,,
,42,5206122467,,-111.9203740,33.3419061,0,tertiary,,,
,43,5206122469,,-111.9279264,33.3419277,0,tertiary,,,
,44,41494584,,-111.9037616,33.3415650,0,tertiary,,,
,45,5206122457,,-111.9068480,33.3487397,0,tertiary,,,
,46,41501538,,-111.9376780,33.3637065,0,secondary,,,
,47,1789501282,,-111.9375816,33.3636592,0,secondary,,,
,48,41517309,,-111.9262877,33.4312176,0,primary,,,
,49,316128961,,-111.9262710,33.4335911,0,primary,,,
,50,4347461556,,-111.9344151,33.4511256,0,secondary,,,
,51,4606952125,,-111.9286777,33.4512133,0,secondary,,,
,52,9077008178,,-111.9004951,33.4216959,0,tertiary,,,
,53,330683928,,-111.9004939,33.4149030,0,primary,,,
,54,1840684698,,-111.9523333,33.4291008,0,tertiary,,,
,55,2294793204,,-111.9588831,33.4290708,0,tertiary,,,
,56,316007299,,-111.9389443,33.4152954,0,primary,,,
,57,316870046,,-111.9382922,33.4149218,0,primary,,,
,58,8997529547,,-111.9105203,33.3396401,0,tertiary,,,
,59,41631126,,-111.9041419,33.3402575,0,tertiary,,,
,60,41631931,,-111.9722190,33.3344280,0,secondary,,,
,61,316737158,,-111.9726789,33.3344285,-1,secondary,,61,
,62,7246713188,,-111.8958323,33.3348036,0,secondary,,,
,63,4346646677,,-111.8945110,33.3347784,0,secondary,,,
,64,5206122478,,-111.9539379,33.3418634,0,tertiary,,,
,65,5206122477,,-111.9462449,33.3419013,0,tertiary,,,
,67,314766566,,-111.9096126,33.4363299,0,secondary,,,
,68,5206122471,,-111.9371145,33.3423442,0,tertiary,,,
,69,8937701884,,-111.9371267,33.3448108,0,tertiary,,,
,71,9643219691,,-111.9400696,33.4210103,0,primary,,,
,72,5206122485,,-111.9544994,33.3543729,0,tertiary,,,
,73,5206122484,,-111.9544813,33.3500696,0,tertiary,,,
,74,41693618,,-111.9681517,33.4000788,0,tertiary,,,
,75,8424688934,,-111.9728232,33.4000576,0,tertiary,,,
,77,4346552062,,-111.9609706,33.4302235,0,secondary,,,
,78,41714336,signal,-111.9366610,33.4219091,0,secondary,,,
,80,41715513,,-111.9631056,33.3235934,0,secondary,,,
,81,2303360705,,-111.9630962,33.3209766,0,secondary,,,
,82,41638608,,-111.9112172,33.3533777,0,secondary,,,
,83,41731270,,-111.9097584,33.3535099,0,tertiary,,,
,84,337713512,,-111.9394077,33.4255068,0,tertiary,,,
,85,41746580,,-111.9366724,33.4255110,0,tertiary,,,
,86,9823582571,,-111.9095162,33.4423486,0,primary,,,
,87,41763648,,-111.9093347,33.4498576,0,primary,,,
,88,41651668,,-111.9281828,33.3720963,0,tertiary,,,
,89,5201685453,,-111.9204075,33.3712307,0,tertiary,,,
,90,255820808,,-111.9198991,33.4356353,0,tertiary,,,
,91,2915598962,,-111.9179602,33.4391366,0,tertiary,,,
,92,5201685464,,-111.9288523,33.4180544,0,tertiary,,,
,93,41654675,,-111.9294120,33.4166399,0,tertiary,,,
,94,4347874711,,-111.9405939,33.4074032,0,secondary,,,
,95,3983465565,,-111.9433255,33.4073787,0,secondary,,,
,96,4347874714,,-111.9344160,33.4074528,0,secondary,,,
,97,3983456159,,-111.9343730,33.4074531,0,secondary,,,
,98,5025692699,,-111.9631836,33.3758829,0,tertiary,,,
,99,5025740337,,-111.9631837,33.3762350,0,tertiary,,,
,100,8937184598,,-111.9631065,33.3254497,0,secondary,,,
,101,41573985,,-111.9262379,33.4209763,0,primary,,,
,102,5806074003,,-111.9177134,33.4194298,0,tertiary,,,
,103,41638526,,-111.9090775,33.4195301,0,secondary,,,
,104,9823385013,,-111.9202883,33.3774242,0,tertiary,,,
,105,321006139,,-111.9194907,33.3767445,0,tertiary,,,
,106,41819424,,-111.9207260,33.3530584,2,tertiary,,106,
,107,5206122464,,-111.9198190,33.3495861,0,tertiary,,,
,108,1789501278,,-111.9571830,33.3542347,0,tertiary,,,
,109,8997644688,,-111.9619063,33.3518515,0,tertiary,,,
,110,5199796218,,-111.9520124,33.3914403,0,tertiary,,,
,111,316738947,,-111.9523145,33.3858507,0,tertiary,,,
,112,5201685449,,-111.9006338,33.3781146,0,tertiary,,,
,113,42024050,,-111.8995952,33.3683315,0,tertiary,,,
,114,42024097,,-111.9004517,33.4037198,0,tertiary,,,
,115,42024296,,-111.9026336,33.3674713,0,tertiary,,,
,116,5201685437,,-111.9026108,33.3641741,0,tertiary,,,
,117,42040191,,-111.9519201,33.4485752,2,primary,,117,
,118,1499426386,,-111.9504326,33.4466701,0,primary,,,
,119,41662567,,-111.9406317,33.4333828,0,primary,,,
,120,316121280,,-111.9416739,33.4352877,0,primary,,,
,121,5200239406,,-111.9176985,33.4151844,0,tertiary,,,
,122,5200239407,,-111.9177082,33.4200246,0,tertiary,,,
,123,42225093,,-111.9682526,33.3964879,2,tertiary,,123,
,124,5206546249,,-111.9214569,33.4440325,0,tertiary,,,
,125,41779434,,-111.9179527,33.4440219,0,tertiary,,,
,126,10647888710,,-111.9349858,33.4250908,0,tertiary,,,
,127,316007232,signal,-111.9349819,33.4243327,0,tertiary,,,
,129,41605284,,-111.9696719,33.4291000,0,secondary,,,
,130,4351723663,,-111.9695640,33.4224944,0,secondary,,,
