link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,East Alameda Drive,5560512,1,2,1,"LINESTRING (-111.8962532 33.4002322, -111.8963369 33.4002327, -111.897039 33.4002369, -111.8973054 33.4002384, -111.898249 33.4002384, -111.899434 33.4002384, -111.8997258 33.4002384, -111.9004222 33.400227, -111.9005361 33.4002251)",1,397.6,tertiary,5,40,2,2400,auto,
2,East Alameda Drive,5560512,2,1,1,"LINESTRING (-111.9005361 33.4002251, -111.9004222 33.400227, -111.8997258 33.4002384, -111.899434 33.4002384, -111.898249 33.4002384, -111.8973054 33.4002384, -111.897039 33.4002369, -111.8963369 33.4002327, -111.8962532 33.4002322)",1,397.6,tertiary,5,40,2,2400,auto,
3,East Alameda Drive,5560512,2,3,1,"LINESTRING (-111.9005361 33.4002251, -111.9006479 33.4002266, -111.9011792 33.4002337, -111.9013208 33.4002356, -111.9016887 33.4002365, -111.9017857 33.4002384, -111.9021891 33.4002169, -111.902446 33.4002004, -111.9027247 33.4001682, -111.9027985 33.4001596, -111.9031934 33.4001524, -111.9034274 33.4001497, -111.9036614 33.4001493, -111.9040483 33.4001511, -111.9041338 33.4001515, -111.9042162 33.4001516, -111.9051044 33.4001529, -111.9057799 33.4001506, -111.9063213 33.4001518, -111.906583 33.4001524, -111.906843 33.4001524, -111.9073825 33.4001524, -111.9079163 33.4001524, -111.908137 33.4001524, -111.9084576 33.400148, -111.908999 33.4001481, -111.909133 33.4001487)",1,798.54,tertiary,5,40,2,2400,auto,
4,South Country Club Way,5646204,2,108,1,"LINESTRING (-111.9005361 33.4002251, -111.9005354 33.4003109, -111.9005317 33.4009884, -111.9005304 33.401221, -111.9005275 33.4016287, -111.9005276 33.4017012, -111.900527 33.4017984, -111.9005276 33.402105, -111.9005276 33.4024965, -111.9005269 33.4025674, -111.9005251 33.4027583, -111.9005204 33.4034278, -111.9005195 33.4035245, -111.900519 33.4036286, -111.9004517 33.4037198)",1,390.37,tertiary,5,40,2,2400,auto,
5,South Country Club Way,1346925701,2,2574,1,"LINESTRING (-111.9005361 33.4002251, -111.9005367 33.4001622, -111.9005407 33.3998533, -111.9005426 33.3995802, -111.9005411 33.3995315, -111.9005406 33.3994687, -111.9005462 33.3989536, -111.9005463 33.3987777, -111.9005486 33.3971778, -111.90055 33.3959305, -111.9005523 33.3953098, -111.9005534 33.3950097, -111.9005568 33.3946142, -111.9005577 33.3940557, -111.9005577 33.3937035, -111.9005575 33.3935264)",1,744.87,tertiary,5,40,2,2400,auto,
6,East Alameda Drive,5560512,3,2,1,"LINESTRING (-111.909133 33.4001487, -111.908999 33.4001481, -111.9084576 33.400148, -111.908137 33.4001524, -111.9079163 33.4001524, -111.9073825 33.4001524, -111.906843 33.4001524, -111.906583 33.4001524, -111.9063213 33.4001518, -111.9057799 33.4001506, -111.9051044 33.4001529, -111.9042162 33.4001516, -111.9041338 33.4001515, -111.9040483 33.4001511, -111.9036614 33.4001493, -111.9034274 33.4001497, -111.9031934 33.4001524, -111.9027985 33.4001596, -111.9027247 33.4001682, -111.902446 33.4002004, -111.9021891 33.4002169, -111.9017857 33.4002384, -111.9016887 33.4002365, -111.9013208 33.4002356, -111.9011792 33.4002337, -111.9006479 33.4002266, -111.9005361 33.4002251)",1,798.54,tertiary,5,40,2,2400,auto,
7,East Alameda Drive,5560512,3,4,1,"LINESTRING (-111.909133 33.4001487, -111.909277 33.4001499, -111.9096076 33.4001475, -111.909674 33.400147, -111.9097498 33.4001445, -111.9098188 33.4001398, -111.9099127 33.4001273, -111.9100005 33.4001118, -111.9100857 33.4000927, -111.9101709 33.4000687, -111.9102607 33.4000386, -111.9105947 33.3999077, -111.9106696 33.3998786, -111.9107341 33.3998538, -111.9108153 33.3998229, -111.9109453 33.3997776, -111.9110816 33.3997329, -111.9116133 33.3995853, -111.9127316 33.3992751, -111.912951 33.3992197, -111.9133634 33.3991494, -111.9134119 33.3991442, -111.9151689 33.3990133, -111.9156238 33.3990348, -111.9160595 33.3990927, -111.9161644 33.3991081)",1,673.03,tertiary,5,40,2,2400,auto,
8,South McClintock Drive,436943765,3,966,1,"LINESTRING (-111.909133 33.4001487, -111.9091303 33.4002282, -111.9091322 33.4006791)",1,58.98,secondary,4,60,2,3200,auto,
9,South McClintock Drive,436943768,3,1906,1,"LINESTRING (-111.909133 33.4001487, -111.9091324 33.4000683, -111.9091333 33.3997368, -111.9091334 33.3996243)",1,58.31,secondary,4,60,3,4800,auto,
10,East Alameda Drive,5560512,4,3,1,"LINESTRING (-111.9161644 33.3991081, -111.9160595 33.3990927, -111.9156238 33.3990348, -111.9151689 33.3990133, -111.9134119 33.3991442, -111.9133634 33.3991494, -111.912951 33.3992197, -111.9127316 33.3992751, -111.9116133 33.3995853, -111.9110816 33.3997329, -111.9109453 33.3997776, -111.9108153 33.3998229, -111.9107341 33.3998538, -111.9106696 33.3998786, -111.9105947 33.3999077, -111.9102607 33.4000386, -111.9101709 33.4000687, -111.9100857 33.4000927, -111.9100005 33.4001118, -111.9099127 33.4001273, -111.9098188 33.4001398, -111.9097498 33.4001445, -111.909674 33.400147, -111.9096076 33.4001475, -111.909277 33.4001499, -111.909133 33.4001487)",1,673.03,tertiary,5,40,2,2400,auto,
